x,y,SVI_ID,none,hide,bone,brick,cardboard,carpet,ceilingtile,ceramic,chalkboard,clutter,concrete,cork,engineeredstone,fabric,fiberglass,fire,foliage,food,fur,gemstone,glass,hair,icannottell,ice,leather,liquid,metal,mirror,notonlist,paint,paper,pearl,photograph,clearplastic,plastic,rubber,sand,skin,sky,snow,soap,soil,sponge,stone,polishedstone,styrofoam,tile,wallpaper,water,wax,whiteboard,wicker,wood,treewood,badpolygon,multiplematerials,asphalt
-73.96477858,40.81342459,11,0,0,0,0,0,0,0,0,0,0,0.001898193,0,0,0,0,0,0.566448975,0,0,0,0,0,0,0,0,0,0.005383301,0,0,0.004315186,0,0,0,0,0,0,0,0,0.140307617,0,0,0.069946289,0,0,0,0,0,0,0.211676025,0,0,0,0,0,0,0,2.44E-05
-73.96431614,40.81400963,12,0,0,0,0,0,0,0,0,0,0,0.017443848,0,0,0.170715332,0,0,0.616326904,0,0,0,0,0,0,0,0.003491211,0,0.000390625,0,0,0.005352783,0,0,0,0,0,0.013928223,0,0,0.137634277,0,0,0.009112549,0,0,0,0,0,0,0.006109619,0,0,0,0,0.001000977,0,0,0.018493652
-73.96387897,40.81460585,13,0,0,0,0,0,0,0,0,0,0,0.024584961,0,0,0,0,0,0.718292236,0,0,0,0,0,0,0,0,0,0.000201416,0,0,0,0,0,0,0,0,0,0,0,0.020581055,0,0,0.236279297,0,0,0,0,0,0,0,0,0,0,0,6.10E-05,0,0,0
-73.96347329,40.81521478,14,0,0,0,0,0,0,0,0,0,0,0.000500488,0,0,0,0,0,0.499047852,0,0,0,0,0,0,0,0,0,9.16E-05,0,0,0,0,0,0,0,0,0,0,0,0.008044434,0,0,0.480206299,0,0,0,0,0,0,0,0,0,0,0,0.012109375,0,0,0
-73.96305207,40.81581749,15,0,0,0,0,0,0,0,0,0,0,0.000311279,0,0,0,0,0,0.67230835,0,0,0,0,0,0,0,0,0,0,0,0,0.00836792,0,0,0,0,0,0,0.000140381,0,0.056262207,0,0,0.101538086,0,0,0,0,0,0,0.054034424,0,0,0,0,0.000909424,0,0,0.10612793
-73.96257478,40.81639514,16,0,0,0,0,0,0,0,0,0,0,0.005511475,0,0,0.000915527,0,0,0.558300781,0,0,0,0,0,0,0,0,0,0.002960205,0,0,0,0,0,0,0,0.072692871,0,0,0,0.208911133,0,0,0.033831787,0,0.00055542,0,0,0,0,0.078839111,0,0,0,0,0,0,0,0.037481689
-73.96202148,40.81693273,17,0,0,0,0,0,0,0,0,0,0,0.00324707,0,0,0.000860596,0,0,0.765301514,0,0,0,0,0,0,0,0,0,0.009399414,0,0,0.002307129,0,0,0,0,0.094946289,0,0,0,0,0,0,0.116723633,0,0,0,0,0,0,0,0,0,0,0,0.00213623,0,0,0.005078125
-73.96142427,40.81744175,18,0,0,0,0.001953125,0,0,0,0,0,0,0.086273193,0,0,0,0,0,0.69119873,0,0,0,0.000683594,0,0,0,0,0,0.003192139,0,0,0.045166016,0.006396484,0,0,0,0.001086426,0,0,0,0.005841064,0,0,0.006549072,0,0,0,0,0,0,0.12388916,0,0,0,0,0.027770996,0,0,0
-73.9563424,40.808178,19,0,0,0,0.018310547,0,0,0,0,0,0,0.442730713,0,0,0.00177002,0,0,0.205517578,0,0,0,0.012451172,0.001916504,0,0,0,0,0.019403076,0,0,0.208032227,0,0,0,0,0.002307129,0,0,0.001928711,0.085632324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-73.95555878,40.80784434,20,0,0,0,0.00690918,0,0,0,0,0,0,0.079882813,0,0,0,0,0,0.280236816,0,0,0,0.067773438,0,0,0,0,0,0.006964111,0,0,0.239575195,0,0,0,0,0.000268555,0.013293457,0,0,0.096356201,0,0,0,0,0.001379395,0,0,0,0,0.086138916,0,0,0,0,0.008837891,0,0,0.112384033
